compound,neg,neu,pos,tweet
0.0,0.0,1.0,0.0,@PatriotsOfMars @NYPinTA she started walking right behind the lady with the cart.
0.1901,0.115,0.717,0.168,There's no way I'd be happy in any job but telling stories.
0.0,0.0,1.0,0.0,@gigideegee What would the premise be?
0.4767,0.0,0.661,0.339,I liked a @YouTube video https://t.co/L3iZOYDOea Cher Lloyd - Want U Back (MattyBRaps Cover)
0.0,0.0,1.0,0.0,Texas!!!
0.0,0.0,1.0,0.0,"I'm at Tognazzini's Dockside Restaurant in Morro Bay, CA https://t.co/bekT78Vnd9"
0.0,0.0,1.0,0.0,"I'm at Hilton San Francisco Union Square - @hiltonhotels in San Francisco, CA https://t.co/t6nqwoDfML"
0.0,0.0,1.0,0.0,@Q13FOX BRING IT!
0.0,0.0,1.0,0.0,@Spacebunnyday @libertytrout @Ed_Realist My homeschooled kids will learn an entire school year of an equivalent subject in one month.
0.0,0.0,1.0,0.0,@RMdeVienne Was he young?
0.8089,0.0,0.695,0.305,"@RMdeVienne there is even a memo sent to all the state agencies that basically says don't harass OCers in WA, it's perfectly legal."
-0.5994,0.412,0.588,0.0,@RMdeVienne I have no problems open carrying in King County.
0.4199,0.0,0.682,0.318,@JohnHowieSteak The one that smells like rosemary!
0.3182,0.0,0.635,0.365,@RMdeVienne I am sure it is.
0.0,0.0,1.0,0.0,I have been on Twitter for 7 years and 4 months (since 13 Apr 2009).
0.0,0.0,1.0,0.0,"I did a tweet for a font, it's called #Airbag, and you can get your copy now https://t.co/EC6OyXIrOJ"
0.0,0.0,1.0,0.0,So is @DunkinDonuts going to name a donut after Tim Dunkin?
0.0,0.0,1.0,0.0,From factory worker to Instagram star -- at 87 - CNN https://t.co/KrlHEISZvy
0.25,0.0,0.8,0.2,Finally had a chance to watch the @Caitlyn_Jenner ESPYS speech.
-0.1531,0.286,0.714,0.0,@ccarpentermusic miss you too &lt;3 x
0.7574,0.068,0.675,0.257,@carmelaramirez @toledokaye @ccsediaren JESSIE RAMIREZ HAHAHAHA it makes no sense but I love it :(( g someone set the date!
-0.4201,0.411,0.589,0.0,Uber sucks ☹️️ BYE FOREVER
-0.6369,0.565,0.435,0.0,gotta shake off this bad mood ✨
0.0,0.0,1.0,0.0,I just tried calling you back
0.7125,0.0,0.587,0.413,"Took the survey ""WHO MAKES BOSTON'S BEST BURGER?""."
0.7125,0.0,0.587,0.413,"Took the survey ""WHO MAKES BOSTON'S BEST BURGER?""."
0.0,0.0,1.0,0.0,~spooky~ (double digits) #instax365 https://t.co/OfrhJRfH5L
0.0,0.0,1.0,0.0,pup patrol https://t.co/iosmmvJd5k
0.0,0.0,1.0,0.0,Tomorrow is the day #cureangelman
0.0,0.0,1.0,0.0,New Bamboobies $350 #giveaway: @babyjogger and @bamboobies #bfing gear http://t.co/3ufYNwmO http://t.co/9zGjF5fo
0.0,0.0,1.0,0.0,Some notes on: 'Moving Your Website To Https from Http' on https://t.co/FOKwCVlOP3 #hoboseo
0.6369,0.0,0.656,0.344,What Is The Best Screen Size To Design For?
0.0,0.0,1.0,0.0,(It's a lot)
0.0,0.0,1.0,0.0,I have to be on Twitter because I HAVE TO KNOW what the mommybloggers du jour find 'unacceptable' about our culture
0.5562,0.0,0.218,0.782,Post-bath kisses!
0.6177,0.0,0.497,0.503,Look at this handsome man!
-0.4182,0.317,0.683,0.0,@adamsmasher69 @His_Dreamgirl Twitter is so confusing now!
0.0,0.0,1.0,0.0,@wzDMBfan @His_Dreamgirl Hi!!!
0.0,0.0,1.0,0.0,@AK_DMB_fan @wzDMBfan @His_Dreamgirl @Ocalawriter Are we skyping tonight?
0.0,0.0,1.0,0.0,@His_Dreamgirl Hi!
0.4926,0.0,0.738,0.262,I'll eat better tomorrow...cause right now...IT'S ABOUT TO GO DOWN!
-0.0857,0.093,0.907,0.0,I'm not who I was but I'm not yet who I want to be #continuedgrowth… https://t.co/kgjItapJvg
0.8378,0.0,0.602,0.398,Just completed a 12.27 km run - Not my best time but just happy to finish!
0.0,0.0,1.0,0.0,Sound checking as the clock winds back.
0.0,0.0,1.0,0.0,"🌸🌼🌸🌼🌸🌼🌸🌼🌸🌼🌸
Flower garlands ☺ #sweet #hospitality #Bangladesh #welcome #thankyou https://t.co/MBTd47Nx7j"
0.0,0.0,1.0,0.0,Photo: Some of my #favouritethings #longlieSaturdays #brunch #eggs #bacon #home ♡ #chilltime #poachedeggs... http://t.co/1rQcl47fH9
0.0,0.0,1.0,0.0,Some of my #favouritethings #longlieSaturdays #brunch #eggs #bacon #home ♡ #chilltime #poachedeggs… https://t.co/Q2BjaYiFMU
0.0,0.0,1.0,0.0,On way to croke park to c the boys... Westlife whoooo
0.7778,0.0,0.72,0.28,@nickybyrneoffic well done on toy show n really excited about june 5 :) bringin my 4 year old for her 1st concert.. luv the album xx
0.5719,0.0,0.575,0.425,Day off 👍+ sun🌞 = perfect 😎👌
-0.3595,0.384,0.616,0.0,@Kah_inAmerica to no Five Guys!
0.0,0.0,1.0,0.0,@_bodyeletric Prepare-se
0.0,0.0,1.0,0.0,@_bodyeletric Tell me wh-y
-0.296,0.087,0.913,0.0,That moment when you missed the whole season 4 of Vikings and you can't find the blu ray ANYWHERE before the fifth season starts airing.....
0.7506,0.0,0.584,0.416,"@SusanScrupski great idea, I must find one here too.....peek into cool kitchens=ideas."
0.3612,0.0,0.545,0.455,@SusanScrupski I like the kitchen 😊
-0.34,0.118,0.882,0.0,"I confess the Ks, and all the other socialites, are suddenly much more appealing than Ivanka Trump - shameless gree… https://t.co/4ZVydRru6H"
0.0,0.0,1.0,0.0,Everytime world goes gaga over Aung Saan Suu Kyi atrocities in her country 😢😱 in me.
0.0,0.0,1.0,0.0,Done II https://t.co/yUR2rAG5ac
0.0,0.0,1.0,0.0,Done I https://t.co/6MDRASfAZY
-0.3612,0.455,0.545,0.0,Slight deviations... :-( https://t.co/prWeWpaUO5
0.3182,0.0,0.685,0.315,Work for the day :-) https://t.co/rp3nrLj1sV
0.5994,0.0,0.38,0.62,"@cupe_cupe hehe, mission accomplished ;-)"
0.34,0.0,0.625,0.375,@boundsgreenon @MyddletonMarket just excited perhaps 😊
0.0,0.0,1.0,0.0,@boundsgreenon @MyddletonMarket is it not normally the first Sunday?
0.0,0.0,1.0,0.0,@xAKTx what's that all about?
0.0,0.0,1.0,0.0,"""Breaks"" and name changes of social media accounts has never ending well... 😢"
0.0,0.0,1.0,0.0,Wonder if mine tastes different because I listen to Christmas music instead of acid rock when I make it...… https://t.co/dpI7QVkf12
0.4389,0.094,0.73,0.176,Looking for a quick stop anytime of the day why not try Saffron Restaurant for some amazing dishes &amp; tapas!
0.0,0.0,1.0,0.0,This thing changed my life.
0.4767,0.0,0.846,0.154,My friends started noticing the change during the fourth week of putting Raspberry Ketone diet to work http://t.co/286H0mwQ
0.0,0.0,1.0,0.0,what if i just started using this twitter account again?
0.632,0.0,0.546,0.454,@ashleekeys09 http://twitpic.com/10kbb6 - It look so cute!
0.0,0.0,1.0,0.0,I just can't get this fever down!
0.4019,0.0,0.816,0.184,Macaroni salad is one of the staple holiday food in every Pinoy table.
0.0,0.0,1.0,0.0,At the #drivein waiting for it to open!
0.0,0.0,1.0,0.0,My little pizza roll will be #10months tomorrow!
0.0,0.0,1.0,0.0,Getting pumped for the rangers game!!
0.7035,0.0,0.407,0.593,Rangers are playing so good tonight!
0.0,0.0,1.0,0.0,Movie night!
0.8264,0.0,0.0,1.0,Yes yes yes!!
0.5093,0.0,0.477,0.523,I'm glad it's Saturday!
0.0,0.0,1.0,0.0,@xsparkage I've had this service several different times!
0.0,0.0,1.0,0.0,I just personalized the Intel Ultrabook Video!
-0.1779,0.221,0.779,0.0,Time to run and hide some more
-0.7096,1.0,0.0,0.0,"Lost, lost, lost"
-0.1513,0.174,0.68,0.146,Today I am grateful for my university education that allows me not to be a complete fucking idiot.
0.0,0.0,1.0,0.0,The halfway mark https://t.co/B0OT550GUy https://t.co/oDWAlACYYV
0.0,0.0,1.0,0.0,@alexgbh but it's always IPA season...
0.8834,0.0,0.466,0.534,I wish I loved anything as much as the Federal Aviation Administration loves acronyms.
0.0,0.0,1.0,0.0,I meant to post this last weekend when we were there but totally forgot.
0.6808,0.0,0.152,0.848,"Dear @GilmoreGirls

I laughed."
0.0,0.0,1.0,0.0,I need a new laptop.
0.0,0.0,1.0,0.0,Don't be a hypocrite
-0.5256,0.459,0.541,0.0,Assuming is a very dangerous word
-0.0772,0.302,0.698,0.0,@Mex85 are you serious?
