compound,neg,neu,pos,tweet
0.0,0.0,0.0,0.0,.
0.0,0.0,0.0,0.0,.
0.0,0.0,0.0,0.0,.
0.0,0.0,0.0,0.0,.
0.0,0.0,0.0,0.0,.
0.0,0.0,0.0,0.0,.
0.0,0.0,0.0,0.0,.
0.0,0.0,1.0,0.0,@thinkprogress he's been proclaiming it for months..it's basically just another stunt.
0.0,0.0,1.0,0.0,Companies move in transitions all the time.
0.0,0.0,1.0,0.0,this gets me every time.. https://t.co/BaYhAqTcX5
0.4753,0.0,0.781,0.219,I liked a @YouTube video from @littlecarlyyt https://t.co/IR2M8XuKXV Minecraft Jobs-Little Carly-WORKING IN THE BAKERY!
0.3818,0.129,0.647,0.224,No Mans Sky should win Most Anticipated Game @thegameawards on December 3rd #TGANoMansSky
0.0,0.0,1.0,0.0,"This girl, right here!!!!"
0.0,0.0,1.0,0.0,"I'm at San Francisco Maritime National Historical Park in San Francisco, CA https://t.co/zxLowc3BPO"
0.0,0.0,1.0,0.0,"I'm at Hawk Hill in Marin Headlands, CA https://t.co/23PvyCKZZn"
0.0,0.0,1.0,0.0,"I'm at City of Redwood City in Redwood City, CA https://t.co/aHIfc8tv6e"
0.6369,0.0,0.543,0.457,@JCHart I am the best sitter ever.
0.4574,0.0,0.0,1.0,YES!
0.0,0.0,1.0,0.0,@DustinAkers right??
0.0,0.0,1.0,0.0,@DustinAkers it's getting so rough.
0.0,0.0,1.0,0.0,@MNPublicHealth @KenBence Just seeing this!
0.0,0.0,1.0,0.0,Cannot wait to watch!
0.7579,0.0,0.649,0.351,Curious: what data sources or metrics does one use to best measure health literacy?
0.5707,0.0,0.52,0.48,Congrats to local young achievers!
0.0,0.0,1.0,0.0,"Re-framing the ""community center"": for one small town, it became the nursing home."
0.2023,0.0,0.904,0.096,"Definition of my circle: I know them, they know me, and we've had one significant conversation in my lifetime."
0.0,0.0,1.0,0.0,We're at Truckeroo today!!
-0.4939,0.348,0.652,0.0,Meek wasted over 4 minutes of my life...
0.0,0.0,1.0,0.0,Wowwwww.... 😴 that's how I felt about that response...
-0.3612,0.556,0.444,0.0,Being poorly sucks.
0.0,0.0,1.0,0.0,Woke up early and can't go back to sleep.
0.0,0.0,1.0,0.0,@ccarpentermusic i did that the other day too.
-0.4404,0.146,0.854,0.0,"I can take all the madness the world has to give / But I won't last a day without you, ADS 🙏🏽💕"
0.0,0.0,1.0,0.0,@ccsediaren by squad do you mean nicki and jessie?
-0.6597,0.272,0.652,0.076,"I swear to god if Connor is under the sheet, I will actually lose my shit 😭 I am that invested in this show @RestingPlatypus #HTGAWM"
0.0,0.0,1.0,0.0,Check it out  https://t.co/aGVAtbyKbQ
0.0,0.0,1.0,0.0,I voted #BadBloodVMA for the 2015 MTV #VMA Song Of Summer!
-0.0772,0.245,0.755,0.0,rainy days (I suppose) https://t.co/MkxmTlHGxo
0.9041,0.0,0.472,0.528,Win a Canon T3 DSLR + 18-55mm lens from some of the best creative blogs!
0.0,0.0,1.0,0.0,New Bamboobies #giveaway: @ergobaby @undercovermama and @bamboobies #bfing gear http://t.co/3ufYNwmO http://t.co/l7623oJi
0.0,0.0,1.0,0.0,How do you do link building in 2016?
-0.6908,0.402,0.598,0.0,Unnatural links can kill your rankings https://t.co/pk7f6PiDgB #hoboseo
0.0,0.0,1.0,0.0,What is a high-quality e-commerce site to Google?
0.5267,0.0,0.469,0.531,Great-great-grandma imparting some wisdom.
0.0,0.0,1.0,0.0,Mommy time!
0.0,0.0,1.0,0.0,This is how we ring in the new year ☺☺ #almost2016 #outwiththeold #inwiththenew https://t.co/shibiVeuto
0.0,0.0,1.0,0.0,We are all tuckered out after our first big outing to #thefresnobee #babygarcia 2 weeks old and… https://t.co/7SBeeWyfWd
0.0,0.0,1.0,0.0,The search is over!
0.0,0.0,1.0,0.0,@adamsmasher69 Hi!
-0.2244,0.174,0.826,0.0,I miss my ladies only days with @JennThaGreat wine and guac!
0.6249,0.0,0.661,0.339,Another great night for the band at Wyong Leagues.
0.0,0.0,1.0,0.0,#picoftheday Scored chriscornellofficial guitar pic last night.
0.0,0.0,1.0,0.0,@nickybyrneoffic..cant wait for croke park... bringing my little 4 year old princess
0.4588,0.0,0.727,0.273,@pigeonPOLL nicky byrne should be on the list :)
-0.4927,0.762,0.238,0.0,So tired 😴
0.0,0.0,1.0,0.0,Split shifts 👎
0.0,0.0,1.0,0.0,Why is it so cold 😢
0.0,0.0,1.0,0.0,Grow up 😠
0.2023,0.0,0.526,0.474,Top gear day ❤
0.0,0.0,1.0,0.0,Let the Auvitu jerseys come along...
0.3182,0.0,0.566,0.434,Pink lighter :-) http://t.co/XToxaRFF
0.5093,0.0,0.68,0.32,@SonOfPurple @frak Glad we could be of assistance!
0.0,0.0,1.0,0.0,@SooleyBong awwwwww!
0.0,0.0,1.0,0.0,Maybe I'll just tell Kevin he doesn't have to get me a Christmas present because I just bought $150 snow boots.... 😳
0.0,0.0,1.0,0.0,I am Clark Griswold.
0.3802,0.0,0.861,0.139,Looking for a place to lunch or dine in Come to Saffron Restaurant fresh Fish of the day!
0.636,0.0,0.785,0.215,Come Join Us down at Casemates to help raise awareness for Mental Heath find out what this day is all about!
0.0,0.0,1.0,0.0,At Saffron Restaurant whether lunch dinner and Tapas from £2.00 onwards!!
0.6239,0.0,0.746,0.254,Some of our dishes served tonight only @ Saffron Restaurant at amazing prices ..!
0.0,0.0,1.0,0.0,This is how it looks!!
0.658,0.0,0.715,0.285,And here are some of the amazing Tapas we serving all day!!
0.5859,0.0,0.648,0.352,I show you how to become successful from home.
-0.2707,0.343,0.657,0.0,@amyrcola im so so sorry.
0.7901,0.0,0.222,0.778,:) Happy Friday everyone!
0.0,0.0,1.0,0.0,"Speaking of fruit cakes, do you plan on buying one this Christmas?"
0.126,0.232,0.496,0.272,Hi I'm Johnny Knoxville and welcome to JackAss!
0.0,0.0,1.0,0.0,@sugonja what lipstick do you have on??
0.3818,0.0,0.536,0.464,"Live, alive ho - mostly"
0.3818,0.0,0.435,0.565,"live, alive ho"
0.5106,0.0,0.798,0.202,"hmm, think I have spent far too much in an attempt to cheer myself up"
0.5106,0.0,0.482,0.518,Dang now I like 3 Taylor swift songs
-0.1779,0.091,0.909,0.0,When you become obsessed with @porterrobinson and impulse buy a ticket to his Brisbane show all in one night.
-0.2235,0.136,0.864,0.0,"""Heaps"" is now part of my vocabulary and I'm not ok with it."
0.0,0.0,1.0,0.0,"so cool!,Best-Buy mailed my gift-card so fast!"
0.0,0.0,1.0,0.0,Are they marketing to kids or the 8 year old in every adult?!?
0.5562,0.0,0.77,0.23,Looking to cheer on #KawhiLeonard and #LaMarcusAldridge in this year's All Star game!
0.4574,0.0,0.701,0.299,Trying to eat healthy and walk more @WomensHealthMag!
0.5255,0.0,0.764,0.236,I checked into the @BestBuy commercial on #ViggleTV for points toward real rewards!
0.0,0.0,1.0,0.0,I checked in to the @McDonalds McCafé Blueberry Pomegranate Smoothie Commercial on #ViggleTV for points!
0.0,0.0,1.0,0.0,Follow@nikestore
0.0,0.0,1.0,0.0,tand door m'n lip #boksen
0.6114,0.0,0.2,0.8,Happy Thanksgiving!
0.4215,0.0,0.588,0.412,I would hit it again lol
