compound,neg,neu,pos,tweet
0.3595,0.0,0.546,0.454,@thegreatbobbu it'll be ok!
0.0,0.0,1.0,0.0,needs to go weed the flower bed on the side of the house.
0.3612,0.0,0.615,0.385,@nickkroll What's Jon Krisel like?
-0.7184,0.273,0.727,0.0,"It's a shame can't take the dog with :( (@ Redondo Beach Farmers' Market in Redondo Beach, CA) https://t.co/n3qIwGDQ9T"
0.0,0.0,1.0,0.0,"I'm at Moonstone Beach Bar &amp; Grill - @moonstonegrill in Cambria, CA https://t.co/CP3yF4FCHR"
0.0,0.0,1.0,0.0,I have been on Twitter for 7 years and 6 months (since 13 Apr 2009).
0.296,0.0,0.312,0.688,@nordstromrack yep.
-0.8225,0.291,0.709,0.0,@nordstromrack ordered 3 wks ago &amp; still no order.cust ser said hadn't shipped yet &amp; nothing they can do.u suck &amp; give nordstrom a bad name
-0.7034,0.377,0.623,0.0,@AskTarget your phone customer service reps are THE WORST.
0.0,0.0,1.0,0.0,@AskTarget i just did.
0.4215,0.121,0.645,0.234,@AskTarget i called customer care twice to try &amp; resolve an issue w/ my order &amp; the reps were rude.
0.4215,0.121,0.645,0.234,@Target i called customer care twice to try &amp; resolve an issue w/ my order &amp; the reps were rude.
0.8582,0.0,0.414,0.586,Happy Founder's Day to all my beautiful sorors!!!
0.1027,0.0,0.887,0.113,Ozzy Osbourne to apologize for urinating on the Alamo - the guardian https://t.co/W4ZaIZevjq
0.0,0.0,1.0,0.0,6 Steps to Launching Your Product to Amazon's Best-Seller List - Entrepreneur https://t.co/Z1C9RAITYk
0.5859,0.0,0.648,0.352,How to win at digital marketing - Mashable https://t.co/kRFhdGaPbw
-0.5106,0.355,0.645,0.0,These vaccinations are making me feel sick.
0.0,0.0,1.0,0.0,Nothing beats freshly made coffee in the morning.
0.0,0.0,1.0,0.0,"@ccarpentermusic BAM, cannot wait!"
0.0,0.0,1.0,0.0,@ccarpentermusic whaaaaaaat?
0.6114,0.0,0.334,0.666,"HAPPY BIRTHDAY, BOB!"
0.8442,0.0,0.435,0.565,YES HELLO GOOD MORNING DECEMBER MERRY CHRISTMAS HO HO HO
-0.2263,0.128,0.872,0.0,🌿 forget the future / i'm here right now / just be here right now with me 🌿
0.705,0.0,0.672,0.328,@bear_eyes @carmelanery @rataTUEY  I love them but it's like they're just milking their old stuff?
-0.6037,0.396,0.604,0.0,@bear_eyes @carmelanery @rataTUEY  IM MAD AT THEM.
0.2827,0.123,0.716,0.162,"#HeroesvsAliens event is actually destroying me and I can't deal with it, so happy I get to witness this in my life time @DCComics #nerdlife"
0.5707,0.0,0.351,0.649,@JennyMcCarthy @DonnieWahlberg  Congrats!
0.0,0.0,1.0,0.0,night time is the right time https://t.co/RXOCR1faSV
