compound,neg,neu,pos,tweet,,
0.908,0,0.47,0.53,What I love most about @Theresacaputo is that she is such a bright spirit who radiates positivity!,,
0.872,0,0.708,0.292,"loving the songs iv heard so far cant wait tll next week for album.. ye were fab on childline, children in need n the lotto welcome back xx",
0.802,0,0.455,0.545,I  know you guys love Lechong Kawali :) http://t.co/2B1aXalmGe,,
0.7891,0.099,0.548,0.353,"@KStater91 I'm confident I might still grab the last playoff spot even if I lose to you, so it's OK. :)",
0.7783,0,0.595,0.405,Are you going to celebrate your birthday with your family and friends?,,
0.7243,0,0.372,0.628,Congratulations to the newlyweds!!!!!,,
0.7067,0,0.291,0.709,@__debo Happy birthday!!!!,,
0.6705,0,0.593,0.407,Sometimes we smile in our sleep :) #babygram #babygarcia https://t.co/3hFKCD8vN8,,
0.6369,0,0.161,0.839,"alive, alive ho",
0.636,0,0.193,0.807,@RattKilla lmao!,,
0.6249,0,0.814,0.186,@nickybyrneoffic great show with the lads 2day on 2fm... was tuned in for whole show... made my day xx,,
0.6166,0,0.498,0.502,OMG AREN'T YOU FUN https://t.co/U757vmPhAq,,
0.6124,0,0.583,0.417,New Today - Rich Cards expands to more verticals https://t.co/K0WMAfOJz5,,
0.5859,0,0.725,0.275,"I'm at Miracle Mile Food Trucks in Los Angeles, CA https://t.co/pwyMDnEVVK",
0.5859,0,0.678,0.322,I just entered to win a 9-month supply of prenatal vitamins.,,
0.5859,0,0.703,0.297,"Wow ""...$4.325 billion in cash..."" how do you carry that?",,
0.5719,0,0.654,0.346,Excellent insight via @Blavity https://t.co/OKIMdFuQ0m #relocation #employment #worklifebalance,,
0.5719,0,0.709,0.291,Mochi is a delicious Japanese delicacy usually eaten during New Year.,,
0.5413,0,0.851,0.149,"The stone face Clinton-Trump fama, the ""pit"" reminds me of American Gladiator....which would be more dignified than what I expect to see",
0.5106,0,0.752,0.248,@blondielalonde I kinda figured everyone was a fun tie to the whole night.,,
0.5095,0,0.646,0.354,is so glad the a/c is done.,,
0.5093,0,0.646,0.354,Raider Red's favorite tailgate dish is BEVO!,,
0.4939,0,0.814,0.186,*Blocks @Amazon on every device for the rest of the day to save bank account*,,
0.4939,0,0.484,0.516,Sleep would be a blessing,,
0.4939,0,0.842,0.158,Drive safely out there and watch your speed limits through school zones now that school is back… https://t.co/ssjbXbIBRc,,
0.4588,0,0.571,0.429,Video: My new favorite commercial.,,
0.4574,0,0.401,0.599,Hey @ArizonaDOT - help!,,
0.4404,0,0.756,0.244,"I'm at Hollywood Walk of Fame in Hollywood, CA https://t.co/1IFemmDfGU",
0.4404,0,0.734,0.266,presale tickets for westlife 2morrow... whooo hope i get them,,
0.4215,0,0.811,0.189,I liked a @YouTube video from @littlecarlyyt https://t.co/2g7aGkV6ID Minecraft-Little Carly Adventures-DRESS SHOPPING FOR THE NEXT,,
0.4215,0,0.517,0.483,Hotline Bling groove progress.,,
0.4215,0,0.714,0.286,"@atavistian lol, sounds real familiar on staying awake",
0.4199,0,0.589,0.411,@ArizonaDOT thank you so much!,,
0.4019,0,0.649,0.351,Made my holiday baking grocery list.,,
0.3818,0,0.658,0.342,Health Benefits of Raspberry Ketone http://t.co/JqhRix6L,,
0.3612,0,0.839,0.161,"@lovethewayUNLAY he was like ""you're right nga, people will retweet/like if it's relatable"" ☹️😅",
0.34,0,0.789,0.211,Finally some cricket being played after rain delays all morning.,,
0.2711,0.093,0.772,0.135,"After day 2 of the Sydney test was rained out, Cricket Australia have issued a Gayle warning, while the Hurricanes were not so threatening."
0.2023,0,0.735,0.265,Are H1 Tags Important For SEO?,,
0,0,1,0,I havent been on here for 2 months!,,
0,0.244,0.577,0.179,I liked a @YouTube video https://t.co/rb9pulGMbM Miss Mulatto - No More Talking 'The Rap Game',,
0,0,1,0,"I'm at Denver International Airport - @denairport in Denver, CO https://t.co/p7DOU508sX",
0,0,1,0,"I'm at Petersen Automotive Museum - @petersen_museum in Los Angeles, CA https://t.co/x8d2000lfe",
0,0,1,0,"I'm at Pancho's Restaurant - @panchos_mb in Manhattan Beach, CA https://t.co/hZceu0Hutj",
0,0,1,0,At it again - @nymgamer cranking out quality food for thought!,,
0,0,1,0,Minnesota's race gap in voter participation echos some key health gaps.,,
0,0,1,0,Ticket to DC Margarita March https://t.co/j6smMCtD1A via @LivingSocial,,
0,0,1,0,#glamlife is over...back to my #reallife.,,
0,0,1,0,Mr @kanyewest for president #2020 🇺🇸,,
0,0,1,0,Welp.,,
0,0,1,0,Double overtime.,,
0,0,1,0,My vegan journey begins tomorrow #nervous ❌🚫🐔🐓🐮🐷🐣,,
0,0,1,0,@KStater91 Carson Palmer just threw his third TD pass.,,
0,0,1,0,Most definately #TeamCap #ScarletWitch  😍,,
0,0,1,0,Finally makes it to Las Vegas... @britneyspears  isnt performing 😭,,
0,0,1,0,City Select 2014 Giveaway http://t.co/qoAXF5MLKB,,
0,0,1,0,hi my name is Regina &amp, I'm a creep 🙃 https://t.co/uGd0GbO9U9,
0,0,1,0,Learn about SEO in 2016 https://t.co/z600NDAaN4 #hoboseo,,
0,0,1,0,First meal on the new stove!,,
0,0,1,0,@His_Dreamgirl @DF_4_RCM Tattoo talk?!,,
0,0,1,0,@gemstwin @His_Dreamgirl @wzDMBfan Hi Amber!,,
0,0,1,0,@His_Dreamgirl @wzDMBfan the Gorge?,,
0,0,1,0,Nnnooooooo Riiiiccckkkkkkk #TheWalkingDead,,
0,0,1,0,So disrespectful #TheWalkingDead,,
0,0,1,0,Look at her #TheWalkingDead,,
0,0,1,0,At the cricket with dad #sydneytest #zincup @commbank @ Sydney Cricket Ground (SCG) https://t.co/PHY7urbUub,,
0,0,1,0,My first GIF.,,
0,0,1,0,'Ricas Tapas!',,
0,0,1,0,have you signed jordin sparks' bday card yet?,,
0,0,1,0,have you signed jordin's bday card yet?,,
0,0,1,0,"There are only 2 days before the year 2015 starts, how's your preparation for the upcoming Media Noche going?",
0,0,1,0,"Egg Muffins for breakfast, anyone?",
0,0,1,0,Voluntarily drinking water.,,
0,0,1,0,Back to homelessness again,,
0,0,1,0,Where is this thing called sleep,,
0,0,1,0,Attempting to stat awake,,
0,0,1,0,Uh oh.,,
0,0,1,0,@sarahsams93 @MattBellassai I've never seen a more accurate tweet in my life,,
0,0,1,0,@AngryBlackLady the Bernie jacket.,,
0,0,1,0,What's with white guys getting older and dyeing their hair orange?,,
-0.1531,0.267,0.517,0.216,I wonder if @ArizonaDOT feels like a broken record yet?,,
-0.2924,0.267,0.733,0,Raspberry Ketone is all the new craze!!,,
-0.34,0.201,0.67,0.129,RT @Brook_star: I'd just like to say that @sbarksdale2 is such a ride or die joint.,,
-0.3612,0.238,0.762,0,I added @sanebox to my inbox to beat email overload.,,
-0.4767,0.256,0.744,0,@WyzeChef we can only hope... who's worse Tara or Carl?,,
-0.5255,0.195,0.805,0,@ChrisRGMcPhail I remember you doing this too ❤️ thought of you when I learned the sad news!,,
-0.6418,0.459,0.541,0,@KoolestKidOut I am so sick right now.,,
-0.6486,0.235,0.765,0,Tips on how to listen to the (thousands and thousands and thousands) of dead ones?,,
